transaction_id,account_id,amount_usd,device_risk_score,is_international,velocity_24h,failed_logins_24h
50001,1001,250.00,15,0,1,0
50002,1002,500.00,45,0,2,1
50003,1006,1250.00,85,1,8,6
50004,1010,150.00,20,0,1,0
50005,1005,300.00,30,1,2,0
50006,1007,399.99,75,1,7,3
50007,1001,800.00,35,0,3,1
50008,1004,620.00,80,1,9,5
50009,1003,100.00,10,0,1,0
50010,1012,450.00,50,1,4,2
50011,1006,1400.00,90,1,10,7
50012,1009,200.00,25,0,2,0
50013,1011,150.00,72,1,6,4
50014,1008,49.99,78,1,7,5
50015,1004,910.00,85,1,8,6
50016,1001,175.00,20,0,1,0
50017,1010,600.00,45,0,3,2
50018,1005,350.00,30,1,2,0
50019,1006,75.00,82,1,9,6
50020,1012,1100.00,15,0,2,0
